Composition,V_Hardness_response,V_Hardness_Error_response
Mo35Nb25Ti5V30W5,,
Mo35Nb25V30W10,,
Mo40Nb30V30,,
Mo45Nb20Ti5V25W5,,
Cr5Mo35Nb20Ta5Ti5V30,,
Mo30Nb25Ti5V25W15,,
Mo35Nb25Ti5V30W5,,
Mo35Nb25V30W10,,
Mo30Nb25Ti5V25W15,,
Mo35Nb25Ti5V30W5,,
Mo35Nb25V30W10,,
Mo30Nb20V40W10,529.64,9.06
Mo35Nb25V35W5,538.01,8.766818714
Mo45Nb20Ti5V25W5,500,8.905994211
Cr15Mo5Nb35Re10Ta15V20,620.8,12.11830329
Hf10Mo10Nb40Re15V25,624.54,9.888578535
Hf10Mo5Nb40Re10V25W10,587.82,12.88091345
Hf5Mo10Nb40Re10V25W10,584.84,10.43138179
Mo40Nb30V30,506.1,8.119542941
Mo40Nb10Ti5V35W10,468.09,10.45
Cr10Mo10Nb70Re5V5,432.04,10.19428269
Hf5Mo10Nb40Re15V25W5,632.18,14.16966306
Cr5Mo5Nb70V15W5,381.47,8.113863478
Cr5Hf5Nb45Re10V25W10,615.75,12.50091898
Cr15Mo10Nb35Re5Ta10V25,586.25,9.247224383
Mo45Nb20V35,496.34,8.303135532
Cr5Mo30Nb25Ti5V35,505.01,10.00078142
Cr10Mo30Nb35Ti5V20,,
Cr5Mo25Nb40V30,,
Cr5Mo35Nb25V35,,
Cr5Mo40Nb20Ta5V30,,
Cr10Mo30Nb35Ti5V20,,
Cr10Mo35Nb45V10,,
Cr5Mo25Nb40V30,,
Cr5Mo30Nb25Ti10V30,,
Cr5Mo30Nb25V40,,
Cr5Mo35Nb25V35,,
Cr5Mo35Nb30Ti10V20,,
Cr5Mo35Nb30V30,,
Cr5Mo40Nb20Ta5V30,,
Mo25Nb20Ti10V30W15,,
Mo35Nb25V35W5,,
Mo35Nb30V30W5,,
Mo35Nb35V20W10,,
Mo45Nb20Ti5V30,,
Mo45Nb20V35,,
Cr10Mo30Nb35Ti5V20,,
Cr5Mo25Nb40V30,,
Cr5Mo35Nb25V35,,
Cr5Mo40Nb20Ta5V30,,
Cr5Mo35Nb30V30,515.6,8.535908906
Cr5Mo35Nb20V40,487.48,10.84702237
Mo45Nb20Ti5V30,497.47,8.708608104
Cr5Mo35Nb25Ti5V30,502.35,8.246625639
Mo35Nb25Ti5V30W5,524.29,6.501191827
Cr10Mo35Nb20Ti5V30,517.52,10.04431851
Cr5Mo40Nb20Ta5V30,571.46,9.778959171
Cr5Mo30Nb25V40,504.79,9.617413714
Mo40Nb25V30W5,495.53,14.15
Mo35Nb25V30W10,520.88,8.930133842
Mo30Nb25Ti5V25W15,537.73,9.925963793
Cr5Mo35Nb20Ta5Ti5V30,521.87,8.271931392
Cr10Mo35Nb15Ta5V35,480.14,6.43
Cr5Mo35Nb10Ta5V45,512.92,9.59
Cr10Mo35Nb20Ta5Ti5V25,,
Cr10Mo35Nb25V30,,
Cr10Mo35Nb15Ta5V35,,
Cr10Mo35Nb20Ta5Ti5V25,,
Cr10Mo35Nb25V30,,
Cr5Mo30Nb20Ta5Ti10V30,,
Cr5Mo35Nb10Ta5Ti5V40,,
Cr5Mo35Nb10Ta5V45,,
Cr5Mo35Nb20Ta5Ti15V20,,
Cr5Mo35Nb35Ti10V15,,
Mo25Nb20Ti5V40W10,,
Mo30Nb20V40W10,,
Mo30Nb30Ti5V30W5,,
Mo40Nb10Ti5V35W10,,
Mo40Nb25V30W5,,
Mo45Nb10Ta5Ti5V35,,
Mo45Nb20Ta5Ti5V25,,
Cr10Mo35Nb20Ta5Ti5V25,,
Cr10Mo35Nb25V30,,
Mo30Nb20V40W10,,
Mo40Nb10Ti5V35W10,,
Cr5Mo40Nb30Ta5Ti5V15,517.75,9.513223093
Mo45Nb10Ta5Ti5V35,470,7.95
Cr10Mo35Nb45V10,540.55,7.32384189
Mo30Nb20V40W10,,
Mo40Nb10Ti5V35W10,,
Mo45Nb20Ta5Ti5V25,475.38,6.59
Cr5Mo35Nb10Ta5Ti5V40,478.99,14.26
Mo25Nb20Ti5V40W10,479.21,37.65
Cr5Mo40Nb20Ti5V30,499.92,9.527857435
Cr10Mo10Nb70Re5V5,,
Cr15Mo10Nb35Re5Ta10V25,,
Cr15Mo5Nb35Re10Ta15V20,,
Cr5Hf5Nb45Re10V25W10,,
Cr5Hf5Nb70Ta5V5W10,,
Cr5Mo10Nb45Re15V20Zr5,,
Mo35Nb30V30W5,514.29,9.378629363
Cr5Mo5Nb70V15W5,,
Mo35Nb15V40W10,506.76,9.425508395
Cr5Mo35Nb20Ta5Ti15V20,485.64,8.05
Mo30Nb15Ti5V35W15,509.06,10.91889448
Cr5Mo30Nb20Ta5Ti10V30,491.83,8.35
Mo25Nb20Ti10V30W15,539.42,8.632202371
Mo30Nb30Ti5V30W5,487.06,6.85
Cr5Nb60Re10Ti10V5W10,,
Cr5Mo35Nb20Ti10V30,491.48,8.021133168
H10Mo10Nb40Re15V25,,
Hf10Mo5Nb40Re10V25W10,,
Cr5Mo35Nb30Ti10V20,498.78,9.463082552
Cr10Mo30Nb35Ti5V20,553.38,13.87869831
Mo35Nb35V20W10,510.87,9.832518869
Hf5Mo10Nb40Re10V25W10,,
Hf5Mo10Nb40Re15V25W5,,
Cr5Mo35Nb35Ti10V15,499.46,9.39
Mo5Nb45Re10V25W10Zr5,,
Nb70V10Cr5Zr5W10,609.18,11.6400054
Nb70V10Cr5Zr5W10,,
Nb70V10Cr5Zr5W10,,
Nb70V10Cr5Zr5W10,,
Al40Cr30V30,499,6.970382642
Al65Cr5V30,,
Cr18Nb35V47,,
Cr50Mo40V10,635,9.934187207
Mo40V30W30,,
Mo50Nb25W25,403,9.319830574
Nb16.7V66.6W16.7,499,7.136257195
Mo33.33Nb33.34V33.33,471.68,8.783117598
Cr33.33Mo33.33Nb33.34,761.5,15.3
Mo33.33Nb33.34V33.33,,
Nb33.33Ta33.33V33.34,,
Mo33.33Nb33.34V33.33,,
Cr33.33Mo33.33Nb33.34,,
Cr33.33Mo33.33Nb33.34,,
Cr33.33Mo33.33Nb33.34,,
Nb33.33Ta33.33V33.34,,
Nb33.33Ta33.33V33.34,364.91,8.906002749
Cr33.33Mo33.33Nb33.34,804,8.440928514
Cr33.33Mo33.33Ti33.34,594,9.219120645
Cr33.33Mo33.33V33.34,564,5.641950843
Cr33.33Ti33.33V33.34,464,8.588949094
Hf33.33Nb33.33V33.34,452.85,8.351926342
Mo33.33Nb33.34V33.33,460.54,4.722207152
Nb33.33Ta33.33V33.34,329.09,7.04509678
Mo33.33Nb33.34V33.33,,
Cr33.33Mo33.33Nb33.34,,
Nb33.33Ta33.33V33.34,,
Nb33.33Ta33.33V33.34,,
Nb33.33Ta33.33V33.34,,
Nb33.33Ta33.33V33.34,,
Nb33.33Ta33.33V33.34,,
Nb33.33Ta33.33V33.34,,
Nb33.33Ta33.33V33.34,,
Nb33.33Ta33.33V33.34,,
Cr33.33Mo33.33Nb33.34,,
Mo33.33Nb33.34V33.33,,
Nb33.33Ta33.33V33.34,,
Cr33.33Mo33.33Nb33.34,,
Mo33.33Nb33.34V33.33,,
Nb33.33Ta33.33V33.34,,
Cr33.33Mo33.33Nb33.34,,
Nb33.33Ta33.33V33.34,,
Cr33.33Mo33.33Nb33.34,,
Nb33.33Ta33.33V33.34,,
Cr33.33Mo33.33Nb33.34,,
Nb33.33Ta33.33V33.34,,
Nb33.33Ta33.33V33.34,,
Nb33.33Ta33.33V33.34,,
Nb33.33Ta33.33V33.34,,
Nb33.33Ta33.33V33.34,,
Nb33.33Ta33.33V33.34,,
Nb34V33Mo20Ta13,451.6,8.693557384
Cr10Mo10Nb40Ta20V10W5Zr5,463.24,7.720261632
Cr10Mo10Nb50Ta5V20W5,459.51,9.166847448
Cr10Mo5Nb50Ta10V20W5,449.38,5.997897928
Cr5Mo10Nb50Ta15V15W5,409.68,6.545467657
Cr5Mo5Nb50Ta10Ti5V15W5Zr5,417.24,9.194280271
Cr5Mo5Nb50Ta20V15W5,395.54,9.073859733
Nb34V33Mo20Ta13,423.91,7.522968259
Nb34V33Mo20Ta13,,
Nb50Ta50,,
Nb34V33Ta23Hf10,,
Nb50Ta50,,
TZM,,
Nb34V33Mo20Ta13,,
Nb50Ta50,,
Mo10Nb5Ta30W55,494.75,8.61176131
Mo25Ta30V10W35,477.86,9.749219576
Mo5Nb60W35,477.16,8.120581548
Mo10Nb55W35,482.19,4.951815243
Hf2Mo6Nb58Ta2W32,436.58,8.658253774
Hf2Mo8Nb56Ta2W32,464.85,11.04158243
Mo14Nb30Ta22W34,454.65,9.809198055
Hf2Mo4Nb60Ta2W32,420.49,6.377284941
Hf10Nb60W30,457.3630013,8.320083897
Hf5Mo20Nb45W30,515.6034368,8.562577065
Hf5Mo15Nb35Ta10W35,529.7540744,10.20027767
Hf5Mo10Nb50W35,490.2251685,3.62208028
Mo5Nb5Re5Ta55W30,534.0688507,10.38763532
Hf5Mo5Nb50W40,514.193209,7.432925747
Mo5Nb35Re5Ta25W30,483.37,11.8611311
Mo5Nb20Re5Ta40W30,510.2917939,8.405369927
Hf5Mo10Nb40Ta10W35,521.9074335,10.45896274
Hf5Mo15Nb50W30,527.8801993,8.211219362
Hf5Mo5Nb45Ta5W40,507.0167589,10.68885867
Hf5Mo15Nb40Ta5W35,506.3478013,8.457238067
Mo5Nb40Re5Ta20W30,491.5208847,9.408634116
Mo5Nb15Re5Ta45W30,493.1849533,5.398296104
Hf5Mo10Nb40Ta5W40,507.083758,8.013742672
Hf10Nb60W30,488.0933333,10.56491481
Hf5Mo20Nb45W30,539.935,8.526400178
Hf5Mo15Nb35Ta10W35,531.74,2.354856684
Hf5Mo10Nb50W35,533.416,8.160859636
Hf5Mo5Nb50W40,529.61,4.115999271
Mo5Nb35Re5Ta25W30,500.98,8.84175267
Mo5Nb20Re5Ta40W30,499.385,6.158216282
Hf5Mo10Nb40Ta10W35,518.9825,12.24098706
Hf5Mo15Nb50W30,518.8025,11.81772609
Hf5Mo5Nb45Ta5W40,531.34,14.00137136
Hf5Mo15Nb40Ta5W35,542.2988889,10.2127842
Mo5Nb40Re5Ta20W30,480.968,8.0078764
Mo5Nb15Re5Ta45W30,503.172,14.15688772
Hf5Mo10Nb40Ta5W40,558.725,14.53234668
Mo14Nb26Ta26W34,545.95625,9.23086428
Hf2Mo2Nb62Ta2W32,482.1842857,7.251496069
Hf2Mo6Nb58Ta2W32,504.49,11.99804865
Hf2Nb24Ta42W32,480.34,7.096768631
Hf2Nb60Ta6W32,463.24,7.879308345
Nb6Ta58W36,500.4677778,7.766681688
Mo2Nb2Ta52W44,527.9611111,12.30058784
Mo35Ta10V20W35,484.74,9.521563261
Mo25Ta25V10W40,518.43,8.101422871
Mo35Ta15V15W35,504.86,9.119237804
Mo20Nb10Ta25W45,477.89,9.356747752
Mo30Ta20V15W35,398.69,13.42128309
Nb60W40,420.56,8.413399586
Mo35Ta15V15W35,459.12,13.90165026
Mo14Nb26Ta26W34,460.56,12.34873355
Hf2Nb64Ta2W32,409.35,3.599017495
Hf2Mo2Nb62Ta2W32,442.98,12.72706312
Mo14Nb22Ta30W34,454.78,5.946551029
Hf2Nb12Ta46W40,544.946949,9.97718892
Hf2Mo2Ta48W48,603.3058697,9.46726091
Hf2Mo4Nb6Ta50W38,521.0842857,13.38972225
Nb14Ta54W32,442.093,3.996493046
Nb4Ta50W46,527.9,11.52435392
Mo2Nb4Ta56W38,500.314,10.45390326
Mo30Nb5Ta15V15W35,504.1,6.807885838
Mo25Ta30V10W35,518.6,9.053363635
Mo5Nb55Ta5W35,533.4,8.641731529
Mo5Nb60W35,503.8,8.169986161
Nb60W40,562.4,9.865049646
Mo15Nb5Ta30W50,473.45,11.97127366
Mo30Nb5Ta15V15W35,530.89,12.37954629
Mo5Nb55Ta5W35,474.88,8.923752793
Mo35Ta10V20W35,390.16,8.116915705
Hf2Nb24Ta42W32,475.89,8.087899334
Mo25Nb5Ta25V10W35,518.89,10.38442813
Nb42Ta26W32,452.5,9.002819728
Hf2Nb60Ta6W32,471.08,9.1349471
Nb5Ta50V5W40,538.02,11.09856709
Mo15Nb5Ta30W50,410.01,9.174490419
Hf2Mo4Nb60Ta2W32,466.4654545,8.947126202
Hf2Nb64Ta2W32,420.076,9.549316671
Hf2Mo8Nb56Ta2W32,523.5477778,9.444495457
Nb42Ta26W32,455.33875,8.646268291
Nb8Ta54W38,483.932,8.605144198
Mo2Nb2Ta64W32,470.6914286,6.818319511
Mo10Nb55W35,562.01,9.401267478
Mo20Ta35V10W35,522.41,8.4543878
Nb55Ta5W40,569.6,9.460417917
Mo25Nb5Ta25V10W35,503.6,7.32730635
Mo30Ta20V15W35,507.25,7.867135078
Nb5Ta50V5W40,486.19,8.814154006
Mo20Ta35V10W35,436.11,9.809659284
Nb55Ta5W40,527.17,5.774582253
Mo25Ta25V10W40,484.16,13.10254797
Mo20Nb10Ta25W45,466.93,6.374265565
Mo10Nb5Ta30W55,446.53,7.69332543
Hf2Nb4Ta46W48,539.0714286,4.014438228
Mo16Nb12Ta40W32,534.3144886,7.024749178
Mo14Nb30Ta22W34,493.6971429,9.02274111
Mo14Nb22Ta30W34,509.551,8.128115061
Nb2Ta62W36,470.073,9.183216636
Mo2Ta58W40,490.3428571,6.401699551
Nb8Ta60W32,451.95375,13.96973866
Mo10Nb55W35,500.36,7.82
Mo5Nb55Ta5W35,498.7,8.93
Nb55Ta5W40,517.37,10.43
Nb60W40,527.31,11.1
Mo15Nb5Ta30W50,,
Nb5Ta50V5W40,,
Nb5Ta50V5W40,,
Nb5Ta50V5W40,,
Mo10Nb5Ta30W55,,
Mo20Nb10Ta25W45,,
Mo20Nb10Ta25W45,,
Mo20Nb10Ta25W45,,
Mo15Nb5Ta30W50,,
Mo15Nb5Ta30W50,,
Mo10Nb5Ta30W55,,
Mo10Nb5Ta30W55,,
Mo25Ta25V10W40,,
Mo25Ta25V10W40,,
Mo10Nb55W35,,
Mo10Nb55W35,,
Mo10Nb55W35,,
Mo30Nb5Ta15V15W35,,
Mo30Nb5Ta15V15W35,,
Mo25Nb5Ta25V10W35,,
Mo25Nb5Ta25V10W35,,
Mo25Nb5Ta25V10W35,,
Mo5Nb55Ta5W35,,
Mo5Nb55Ta5W35,,
Mo5Nb55Ta5W35,,
Mo10Nb55W35,,
Mo5Nb55Ta5W35,,
Nb55Ta5W40,,
Nb55Ta5W40,,
Nb55Ta5W40,,
Nb55Ta5W40,,
Nb60W40,,
Nb60W40,,
Nb60W40,,
Nb60W40,,
Hf2Nb12Ta46W40,,
Hf2Nb12Ta46W40,,
Hf2Nb4Ta46W48,,
Hf2Nb12Ta46W40,,
Hf2Nb4Ta46W48,,
Hf2Nb4Ta46W48,,
Hf2Mo2Ta48W48,,
Hf2Mo2Ta48W48,,
Mo14Nb26Ta26W34,,
Hf2Mo2Ta48W48,,
Mo16Nb12Ta40W32,,
Mo16Nb12Ta40W32,,
Mo14Nb26Ta26W34,,
Mo14Nb26Ta26W34,,
Mo14Nb26Ta26W34,,
Nb6Ta58W36,,
Nb4Ta50W46,,
Mo2Nb4Ta56W38,,
Mo2Nb2Ta52W44,,
